p0x,p0y,p0z,p0xq,p0yq,p0zq,p0wq,t0x,t0y,t0z,t0xq,t0yq,t0zq,t0wq,t0xv,t0yv,t0zv,t0ct,t0run,t1x,t1y,t1z,t1xq,t1yq,t1zq,t1wq,t1xv,t1yv,t1zv,t1ct,t1run,t2x,t2y,t2z,t2xq,t2yq,t2zq,t2wq,t2xv,t2yv,t2zv,t2ct,t2run,cZxpos,cZy,cZz,time
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.15541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.17542
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.19541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.21542
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.23541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.25541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.27541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.29541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.31541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.33541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.35542
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.37541
